Aadorf,8355,TG,47.49108,8.90319
Aarau,5000,AG,47.39517,8.05444
Aarau Rohr,5032,AG,47.401,8.08072
Aarberg,3270,BE,47.04499,7.2758
Aarburg,4663,AG,47.32143,7.90427
Aarwangen,4912,BE,47.23739,7.77454
Aathal-Seegräben,8607,ZH,47.33586,8.76582
Abländschen,1657,BE,46.57255,7.28902
Abtwil AG,5646,AG,47.17499,8.35547
Abtwil SG,9030,SG,47.42427,9.32095
Achseten,3725,BE,46.52762,7.59426
Aclens,1123,VD,46.56744,6.5121
Acquarossa,6716,TI,46.45602,8.93734
Adelboden,3715,BE,46.49103,7.56301
Adetswil,8345,ZH,47.33911,8.8415
Adligenswil,6043,LU,47.07038,8.36485
Adlikon b. Andelfingen,8452,ZH,47.57686,8.70498
Adliswil,8134,ZH,47.31293,8.52566
Aedermannsdorf,4714,SO,47.3058,7.60879
Aefligen,3426,BE,47.09474,7.55705
Aegerten,2558,BE,47.12029,7.28902
Aesch (Neftenbach),8412,ZH,47.54151,8.6791
Aesch BL,4147,BL,47.47105,7.59626
Aesch LU,6287,LU,47.25738,8.24042
Aesch ZH,8904,ZH,47.33676,8.44028
Aeschau,3536,BE,46.90437,7.7741
Aeschi SO,4556,SO,47.17924,7.6618
Aeschi b. Spiez,3703,BE,46.65539,7.70004
Aetingen,4587,SO,47.13245,7.50509
Aettenschwil,5645,AG,47.1838,8.37164
Aeugst am Albis,8914,ZH,47.26849,8.48553
Affeltrangen,9556,TG,47.52673,9.03201
Affoltern am Albis,8910,ZH,47.27832,8.4528
Affoltern im Emmental,3416,BE,47.06571,7.73082
Agarn,3951,VS,46.29539,7.66609
Agarone,6597,TI,46.17915,8.90731
Agiez,1352,VD,46.71956,6.50815
Agno,6982,TI,46.00055,8.90024
Agra,6927,TI,45.97002,8.91399
Aigle,1860,VD,46.31639,6.96472
Aire-la-Ville,1288,GE,46.18935,6.04323
Airolo,6780,TI,46.52788,8.61417
Alberswil,6248,LU,47.1505,8.00145
Albeuve,1669,FR,46.51617,7.05465
Albinen,3955,VS,46.34084,7.63286
Albligen,3183,BE,46.85245,7.31921
Alchenstorf,3473,BE,47.12391,7.63709
Aldesago,6974,TI,46.00842,8.9788
Algetshausen,9249,SG,47.44691,9.10795
Allaman,1165,VD,46.47022,6.39444
Alle,2942,JU,47.42563,7.129
Allenwinden,6319,ZG,47.16586,8.5535
Allerheiligenberg,4615,SO,47.35209,7.81553
Allmendingen b. Bern,3112,BE,46.91554,7.52092
Allschwil,4123,BL,47.55172,7.54649
Almens,7416,GR,46.73709,9.45613
Alpnach Dorf,6055,OW,46.93688,8.26264
Alpnachstad,6053,OW,46.96581,8.28786
Alpthal,8849,SZ,47.05579,8.70919
Alt St. Johann,9656,SG,47.19024,9.27318
Altbüron,6147,LU,47.18346,7.88211
Altdorf SH,8243,SH,47.7847,8.65866
Altdorf UR,6460,UR,46.87909,8.63955
Alten,8453,ZH,47.59907,8.64613
Altendorf,8852,SZ,47.18901,8.82586
Altenrhein,9423,SG,47.4907,9.55518
Alterswil FR,1715,FR,46.79451,7.26441
Altikon,8479,ZH,47.57329,8.78231
Altishofen,6246,LU,47.2015,7.96532
Altnau,8595,TG,47.61262,9.26067
Altstätten SG,9450,SG,47.37722,9.54462
Altwis,6286,LU,47.23841,8.2519
Alvaneu Bad,7473,GR,46.66966,9.6488
Alvaneu Dorf,7492,GR,46.67905,9.6459
Alvaschein,7451,GR,46.67534,9.55069
Ambrì,6775,TI,46.50925,8.69604
Amden,8873,SG,47.1494,9.15273
Amlikon-Bissegg,8514,TG,47.5632,9.04506
Amriswil,8580,TG,47.54697,9.29739
Amsoldingen,3633,BE,46.72813,7.58333
Amsteg,6474,UR,46.7721,8.67036
Andeer,7440,GR,46.60133,9.42523
Andelfingen,8450,ZH,47.5932,8.67731
Andermatt,6490,UR,46.63551,8.59633
Andiast,7159,GR,46.78683,9.11211
Andwil SG,9204,SG,47.4391,9.27288
Anglikon,5611,AG,47.36492,8.26378
Anières,1247,GE,46.27891,6.22729
Anwil,4469,BL,47.45127,7.93966
Anzonico,6748,TI,46.43118,8.86294
Anzère,1972,VS,46.29777,7.4026
Appenzell,9050,AI,47.33128,9.40576
Apples,1143,VD,46.55342,6.43124
Aquila,6719,TI,46.50469,8.94471
Aranno,6994,TI,46.01701,8.87103
Arbaz,1974,VS,46.27715,7.38497
Arbedo,6517,TI,46.21443,9.04641
Arboldswil,4424,BL,47.41518,7.71713
Arbon,9320,TG,47.51347,9.42511
Arcegno,6618,TI,46.16224,8.74219
Arch,3296,BE,47.1663,7.42878
Arconciel,1732,FR,46.74395,7.12376
Ardez,7546,GR,46.77592,10.19956
Ardon,1957,VS,46.20964,7.2594
Areuse,2015,NE,46.95415,6.85471
Arisdorf,4422,BL,47.5108,7.76559
Aristau,5628,AG,47.28902,8.36185
Arlesheim,4144,BL,47.4959,7.61832
Arnegg,9212,SG,47.44163,9.25563
Arnex-sur-Orbe,1321,VD,46.69335,6.51885
Arni BE,3508,BE,46.93578,7.65726
Arogno,6822,TI,45.95755,8.98628
Arolla,1986,VS,46.0331,7.48247
Arosa,7050,GR,46.7805,9.67696
Arth,6415,SZ,47.06456,8.52564
Arvigo,6543,GR,46.30083,9.11152
Arzier-Le Muids,1273,VD,46.45609,6.20957
Arzo,6864,TI,45.87539,8.94059
Ascharina,7245,GR,46.95777,9.80911
Ascona,6612,TI,46.15606,8.7734
Asp,5025,AG,47.44309,8.0504
Assens,1042,VD,46.61251,6.62362
Astano,6999,TI,46.0124,8.81557
Asuel,2954,JU,47.39918,7.20516
Athenaz (Avusy),1285,GE,46.14866,6.00432
Attalens,1616,FR,46.50898,6.85103
Attelwil,5056,AG,47.26007,8.04269
Attikon,8544,ZH,47.53627,8.79703
Attinghausen,6468,UR,46.86229,8.62687
Attiswil,4536,BE,47.2484,7.61146
Au SG,9434,SG,47.43232,9.63478
Au ZH,8804,ZH,47.24291,8.64703
Aubonne,1170,VD,46.49345,6.38966
Auenstein,5105,AG,47.41698,8.13725
Augst BL,4302,BL,47.53408,7.71811
Aumont,1484,FR,46.79925,6.85045
Auslikon,8331,ZH,47.34459,8.80823
Ausserberg,3938,VS,46.31429,7.8514
